"source","destination","status","channel","notes"
"/shop","/products","301","both","legacy WP shop — already in middleware"
"/shop/*","/products","301","both","legacy WP shop subtree — already in middleware"
"/search","/products","301","both","legacy search; q preserved — already in middleware"
"/retail","https://www.poshaktaranom.ir/","301","retail","strip /retail prefix — already in middleware"
"/retail/*","https://www.poshaktaranom.ir/{path}","301","retail","strip /retail prefix — already in middleware"
"/product/*","410 Gone","410","both","legacy WP product path — already in middleware"
"/category/{uuid}","/category/{slug}","301","both","owned by category/storefront agent; not verified live in this implementer lane"
"/products/linen-sport-jacket-erika","/products/coats00015","301","both","static PRODUCT_SLUG_REDIRECTS — already in middleware"
"/products/bezayagh-jacket-rose","/products/coats00014","301","both","static PRODUCT_SLUG_REDIRECTS — already in middleware"
"/products/cotton-vest-pants-set-nazi","/products/vests-pants00001","301","both","static PRODUCT_SLUG_REDIRECTS — already in middleware"
"/products/jacquard-jacket-pardis","/products/coats00013","301","both","static PRODUCT_SLUG_REDIRECTS — already in middleware"
"/products/woolen-teddy-manteau-rasta","/products/winter-wear00015","301","both","static PRODUCT_SLUG_REDIRECTS — already in middleware"
"/products/woolen-kaftan-noora","/products/kaftans00002","301","both","static PRODUCT_SLUG_REDIRECTS — already in middleware"
"/products/کاپشن-بامبری-winter-wear00014","/products/winter-wear00014","301","both","static PRODUCT_SLUG_REDIRECTS — already in middleware"
"/products/linen-shirt-manteau-golrokh-blouses00016","/products/blouses00016","301","both","static PRODUCT_SLUG_REDIRECTS — already in middleware"
"/products/linen-embroidered-manteau-nastaran","/products/blouses00015","301","both","static PRODUCT_SLUG_REDIRECTS — already in middleware"
"/products/linen-pants-arsa","/products/pants00006","301","both","static PRODUCT_SLUG_REDIRECTS — already in middleware"
"/products/linen-pants-hasty","/products/pants00005","301","both","static PRODUCT_SLUG_REDIRECTS — already in middleware"
"/products/cotton-crop-jacket-aramis","/products/coats00012","301","both","static PRODUCT_SLUG_REDIRECTS — already in middleware"
"/products/chenille-coat-prima","/products/coats00011","301","both","static PRODUCT_SLUG_REDIRECTS — already in middleware"
"/products/cotton-tracksuit-set-tara","/products/winter-wear00013","301","both","static PRODUCT_SLUG_REDIRECTS — already in middleware"
"/products/teddy-hoodie-sweatshirt-good","/products/winter-wear00012","301","both","static PRODUCT_SLUG_REDIRECTS — already in middleware"
"/products/patterned-french-terry-shirt","/products/winter-wear00011","301","both","static PRODUCT_SLUG_REDIRECTS — already in middleware"
"/products/woolen-coat-maral","/products/winter-wear00010","301","both","static PRODUCT_SLUG_REDIRECTS — already in middleware"
"/products/footer-coat-arka","/products/winter-wear00009","301","both","static PRODUCT_SLUG_REDIRECTS — already in middleware"
"/products/chenille-coat-negin","/products/coats00010","301","both","static PRODUCT_SLUG_REDIRECTS — already in middleware"
"/products/lyocell-jacket-jacqueline","/products/coats00009","301","both","static PRODUCT_SLUG_REDIRECTS — already in middleware"
"/products/memory-lined-raincoat-110","/products/winter-wear00008","301","both","static PRODUCT_SLUG_REDIRECTS — already in middleware"
"/products/woolen-overcoat-athena","/products/winter-wear00007","301","both","static PRODUCT_SLUG_REDIRECTS — already in middleware"
"/products/chenille-coat-mahour","/products/coats00008","301","both","static PRODUCT_SLUG_REDIRECTS — already in middleware"
"/products/tetoron-basic-shirt-sahar","/products/blouses00014","301","both","static PRODUCT_SLUG_REDIRECTS — already in middleware"
"/products/wool-coat-katayoun","/products/winter-wear00006","301","both","static PRODUCT_SLUG_REDIRECTS — already in middleware"
"/products/footer-coat-dalia","/products/winter-wear00005","301","both","static PRODUCT_SLUG_REDIRECTS — already in middleware"
"/products/waterproof-memory-raincoat-110","/products/winter-wear00004","301","both","static PRODUCT_SLUG_REDIRECTS — already in middleware"
"/products/maserati-pants-mahin","/products/pants00004","301","both","static PRODUCT_SLUG_REDIRECTS — already in middleware"
"/products/crushed-footer-coat-tiara","/products/winter-wear00003","301","both","static PRODUCT_SLUG_REDIRECTS — already in middleware"
"/products/lined-memory-raincoat-80","/products/winter-wear00002","301","both","static PRODUCT_SLUG_REDIRECTS — already in middleware"
"/products/solid-memory-raincoat-80","/products/winter-wear00001","301","both","static PRODUCT_SLUG_REDIRECTS — already in middleware"
"/products/lyocell-baggy-pants-jacqueline","/products/pants00003","301","both","static PRODUCT_SLUG_REDIRECTS — already in middleware"
"/products/cotton-overcoat-laleh","/products/coats00006","301","both","static PRODUCT_SLUG_REDIRECTS — already in middleware"
"/products/kat-katan-freesize-kian","/products/coats00005","301","both","static PRODUCT_SLUG_REDIRECTS — already in middleware"
"/products/kat-katan-kajerah-alice","/products/coats00004","301","both","static PRODUCT_SLUG_REDIRECTS — already in middleware"
"/products/cotton-twill-manteau-mahan","/products/coats00003","301","both","static PRODUCT_SLUG_REDIRECTS — already in middleware"
"/products/cotton-twill-bomber-jacket-ghazal","/products/coats00002","301","both","static PRODUCT_SLUG_REDIRECTS — already in middleware"
"/products/cotton-twill-sport-jacket-dorsa","/products/coats00001","301","both","static PRODUCT_SLUG_REDIRECTS — already in middleware"
"/products/cotton-twill-skirt-suit-tanin","/products/skirt-suits00001","301","both","static PRODUCT_SLUG_REDIRECTS — already in middleware"
"/products/mom-style-cotton-pants","/products/pants00002","301","both","static PRODUCT_SLUG_REDIRECTS — already in middleware"
"/products/linen-shirt-manteau-sarinaz","/products/blouses00013","301","both","static PRODUCT_SLUG_REDIRECTS — already in middleware"
"/products/linen-shirt-manteau-minoo","/products/blouses00012","301","both","static PRODUCT_SLUG_REDIRECTS — already in middleware"
"/products/linen-pants-neda","/products/pants00001","301","both","static PRODUCT_SLUG_REDIRECTS — already in middleware"
"/products/linen-shirt-manteau-barana","/products/blouses00011","301","both","static PRODUCT_SLUG_REDIRECTS — already in middleware"
"/products/linen-shirt-manteau-niki","/products/blouses00010","301","both","static PRODUCT_SLUG_REDIRECTS — already in middleware"
"/products/linen-shirt-manteau-delin","/products/blouses00009","301","both","static PRODUCT_SLUG_REDIRECTS — already in middleware"
"/products/linen-vest-skirt-set-baran","/products/vests-skirts00001","301","both","static PRODUCT_SLUG_REDIRECTS — already in middleware"
